country_code,country_name,date,year,frequency,indicator_group,indicator_slug,indicator_code,indicator_name,value,unit,source
ARG,Argentina,2017-05-21,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-22,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-23,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-24,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-25,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-26,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-27,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-28,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-29,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-30,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-05-31,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-01,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-02,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-03,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-04,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-05,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-06,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-07,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-08,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-09,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-10,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-11,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-12,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-13,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-14,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-15,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-16,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-17,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-18,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-19,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-20,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-21,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-22,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-23,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-24,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-25,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-26,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,16.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-27,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-28,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-29,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-06-30,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-01,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-02,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-03,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-04,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-05,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-06,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-07,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-08,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-09,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-10,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-11,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-12,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-13,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-14,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-15,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-16,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-17,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-18,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-19,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-20,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-21,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-22,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-23,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-24,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-25,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-26,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-27,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-28,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-29,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-30,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-07-31,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-01,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-02,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-03,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-04,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-05,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-06,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-07,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-08,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-09,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-10,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-11,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-12,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-13,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-14,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-15,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-16,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-17,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-18,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-19,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-20,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-21,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-22,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-23,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-24,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-25,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-26,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-27,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-28,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-29,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-30,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-08-31,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-01,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-02,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-03,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-04,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-05,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-06,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-07,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-08,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-09,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-10,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-11,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-12,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-13,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-14,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-15,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-16,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-17,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-18,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-19,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-20,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,17.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-21,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-22,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-23,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-24,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-25,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-26,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-27,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-28,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-29,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-09-30,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-01,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-02,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-03,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-04,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-05,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-06,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-07,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-08,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-09,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-10,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-11,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-12,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-13,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-14,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
ARG,Argentina,2017-10-15,2017,daily,exchange_rate,dolar_oficial,bluelytics_oficial_sell,Dolar oficial Argentina,18.0,ARS per USD,Bluelytics
